Date,Open,High,Low,Close,Adj Close,Volume
1991-10-01,14.312500,14.750000,13.500000,14.250000,6.885877,79028000
1991-11-01,14.250000,15.062500,14.000000,14.812500,7.157684,56326600
1991-12-01,14.687500,17.187500,14.687500,16.937500,8.184533,69451400
1992-01-01,16.750000,17.875000,16.000000,16.875000,8.186804,77569200
1992-02-01,16.500000,17.062500,15.250000,16.125000,7.822945,58246400
1992-03-01,16.312500,17.375000,15.562500,17.125000,8.308088,53426200
1992-04-01,17.062500,18.250000,16.687500,18.250000,8.887467,63757800
1992-05-01,18.250000,18.437500,17.375000,18.250000,8.887467,46047400
1992-06-01,18.062500,18.312500,17.062500,17.437500,8.491792,42963600
1992-07-01,17.437500,18.937500,17.437500,18.687500,9.133857,50796800
1992-08-01,18.562500,19.437500,18.375000,18.750000,9.164402,37700600
1992-09-01,18.625000,19.437500,18.062500,18.937500,9.256042,45636600
1992-10-01,19.250000,20.187500,18.625000,19.937500,9.778260,52901200
1992-11-01,19.875000,21.312500,19.062500,20.375000,9.992834,46322800
1992-12-01,20.375000,21.687500,20.187500,20.750000,10.176756,46679000
1993-01-01,20.687500,21.250000,19.312500,20.937500,10.300688,51759000
1993-02-01,20.875000,21.187500,19.250000,19.937500,9.808717,49501400
1993-03-01,19.875000,21.812500,19.625000,21.437500,10.546675,53272600
1993-04-01,21.500000,21.562500,17.500000,18.812500,9.284421,100269400
1993-05-01,18.750000,19.062500,17.812500,18.125000,8.945116,87628800
1993-06-01,18.250000,18.562500,17.250000,18.500000,9.130191,85744200
1993-07-01,18.437500,19.250000,17.312500,18.687500,9.263901,71026200
1993-08-01,18.750000,20.062500,18.375000,19.687500,9.759627,49333200
1993-09-01,19.500000,20.937500,19.437500,19.625000,9.728647,54844600
1993-10-01,19.562500,20.687500,19.000000,19.750000,9.830941,44177200
1993-11-01,19.687500,20.375000,18.812500,20.125000,10.017605,48116400
1993-12-01,20.125000,21.250000,19.812500,20.437500,10.173161,45539200
1994-01-01,20.500000,20.562500,19.562500,20.187500,10.089194,49548400
1994-02-01,19.937500,20.000000,19.000000,19.562500,9.776839,53993200
1994-03-01,19.625000,19.750000,17.875000,18.312500,9.152123,78254400
1994-04-01,18.000000,18.562500,17.812500,18.250000,9.159451,49855200
1994-05-01,18.375000,18.875000,17.562500,18.000000,9.033979,46699200
1994-06-01,17.937500,18.437500,14.937500,15.312500,7.685155,155468600
1994-07-01,15.375000,15.625000,14.625000,15.250000,7.692247,81487600
1994-08-01,15.250000,17.312500,15.250000,16.562500,8.354289,81088600
1994-09-01,16.500000,17.000000,16.125000,16.562500,8.354289,55443800
1994-10-01,16.625000,17.562500,16.125000,17.500000,8.874680,63909800
1994-11-01,17.500000,18.687500,17.500000,17.625000,8.938070,62916600
1994-12-01,17.625000,18.437500,17.375000,18.125000,9.191629,53896400
1995-01-01,18.125000,18.500000,16.937500,18.437500,9.397257,78187800
1995-02-01,18.625000,19.875000,18.125000,19.562500,9.970651,85075600
1995-03-01,19.750000,20.500000,18.937500,19.562500,9.970651,80687400
1995-04-01,19.437500,20.937500,19.437500,20.812500,10.657096,55436600
1995-05-01,20.750000,24.500000,20.750000,24.500000,12.545293,118435200
1995-06-01,24.312500,24.375000,22.250000,22.750000,11.649199,84367200
1995-07-01,22.750000,23.500000,21.625000,23.437500,12.053079,82367400
1995-08-01,23.312500,23.500000,22.125000,22.625000,11.635238,52795400
1995-09-01,22.625000,26.000000,22.562500,25.500000,13.113747,70765000
1995-10-01,25.437500,26.750000,25.187500,26.312500,13.590354,69788200
1995-11-01,26.312500,27.687500,26.000000,27.687500,14.300546,46234800
1995-12-01,27.562500,29.375000,26.812500,27.937500,14.429662,58821400
1996-01-01,27.562500,30.312500,27.250000,29.812500,15.451960,71476400
1996-02-01,29.687500,33.125000,29.562500,31.625000,16.391397,90903200
1996-03-01,31.750000,33.437500,30.625000,31.625000,16.391397,70326200
1996-04-01,31.750000,32.375000,29.375000,31.750000,16.505636,70867400
